,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
145,0,0,0,0,0,0,5,12,12,2
146,0,0,0,0,0,0,5,12,12,2
147,0,0,0,0,0,0,0,12,12,7
148,0,0,0,0,0,0,0,12,12,7
149,0,0,0,0,0,0,0,12,12,7
150,0,0,0,0,0,0,0,12,12,7
151,0,0,0,0,0,0,0,12,12,7
152,0,0,0,0,0,0,0,11,12,8
153,0,0,0,0,0,0,0,11,12,8
154,0,0,0,0,0,0,0,11,12,8
155,0,0,0,0,0,0,0,11,12,8
156,0,0,0,0,0,0,0,11,12,8
157,0,0,0,0,0,0,0,10,12,9
158,0,0,0,0,0,0,0,10,12,9
159,0,0,0,0,0,0,0,10,12,9
160,0,0,0,0,0,0,0,10,12,9
161,0,0,0,0,0,0,0,10,12,9
162,0,0,0,0,0,0,0,9,12,10
163,0,0,0,0,0,0,0,9,12,10
164,0,0,0,0,0,0,0,9,12,10
165,0,0,0,0,0,0,0,9,12,10
166,0,0,0,0,4,12,12,12,12,11
167,0,0,0,0,4,12,12,12,12,11
168,0,0,0,0,4,12,12,12,12,11
169,0,0,0,0,4,12,12,12,12,11
170,0,0,0,0,4,12,12,12,12,11
171,0,0,0,0,2,12,12,5,0,0
172,0,0,0,0,2,12,12,5,0,0
173,0,0,0,0,2,12,12,5,0,0
174,0,0,0,0,0,12,12,7,0,0
175,0,0,0,0,0,12,12,7,0,0
176,0,0,0,0,0,12,12,7,0,0
177,0,0,0,0,0,12,12,7,0,0
178,0,0,0,0,0,12,12,7,0,0
179,0,0,0,0,0,11,12,8,0,0
180,0,0,0,0,0,11,12,8,0,0
181,0,0,0,0,0,11,12,8,0,0
182,0,0,0,0,0,11,12,8,0,0
183,0,0,0,0,0,11,12,8,0,0
184,0,0,0,0,0,10,12,9,0,0
185,0,0,0,0,0,10,12,9,0,0
186,0,0,0,0,0,0,11,12,8,0
187,12,12,7,0,0,0,0,0,0,0
188,12,12,7,0,0,0,0,0,0,0
189,12,12,7,0,0,0,0,0,0,0
190,12,12,7,0,0,0,0,0,0,0
191,12,12,7,0,0,0,0,0,0,0
192,11,12,8,0,0,0,0,0,0,0
193,11,12,8,0,0,0,0,0,0,0
194,11,12,8,0,0,0,0,0,0,0
195,11,12,8,0,0,0,0,0,0,0
196,11,12,8,0,0,0,0,0,0,0
197,9,12,10,0,0,0,0,0,0,0
198,9,12,10,0,0,0,0,0,0,0
199,9,12,10,0,0,0,0,0,0,0
200,9,12,10,0,0,0,0,0,0,0
201,9,12,10,0,0,0,0,0,0,0
202,8,12,11,0,0,0,0,0,0,0
203,8,12,11,0,0,0,0,0,0,0
204,8,12,11,0,0,0,0,0,0,0
205,8,12,11,0,0,0,0,0,0,0
206,8,12,11,0,0,0,0,0,0,0
207,6,12,12,12,7,0,0,0,0,0
208,6,12,12,12,7,0,0,0,0,0
209,6,12,12,12,7,0,0,0,0,0
210,6,12,12,12,7,0,0,0,0,0
211,9,12,12,12,8,0,0,0,0,0
212,9,12,12,12,8,0,0,0,0,0
213,9,2,0,0,0,0,0,0,0,0
214,9,12,12,12,8,0,0,0,0,0
215,9,12,12,12,8,0,0,0,0,0
216,4,12,12,12,9,0,0,0,0,0
217,4,12,12,12,9,0,0,0,0,0
218,4,12,12,12,9,0,0,0,0,0
219,4,12,12,12,9,0,0,0,0,0
220,3,12,12,0,0,0,0,0,0,0
221,3,12,12,12,10,0,0,0,0,0
222,3,12,12,12,10,0,0,0,0,0
223,3,12,12,12,10,0,0,0,0,0
224,3,12,12,12,10,0,0,0,0,0
225,2,12,12,12,11,0,0,0,0,0
226,2,12,12,12,11,0,0,0,0,0
227,2,12,12,12,11,0,0,0,0,0
228,2,12,12,12,11,0,0,0,0,0
229,2,12,12,12,11,0,0,0,0,0
230,1,12,12,12,12,0,0,0,0,0
231,1,12,12,12,12,0,0,0,0,0
232,1,12,12,12,12,0,0,0,0,0
233,1,12,12,12,12,0,0,0,0,0
234,0,0,0,0,0,0,10,12,7,0
235,0,0,0,0,0,0,10,12,7,0
236,0,0,0,0,0,0,10,12,7,0
237,0,0,0,0,0,0,10,12,7,0
238,0,0,0,0,0,0,10,12,7,0
239,0,0,0,0,0,0,9,12,7,0
240,0,0,0,0,0,0,9,12,7,0
241,0,0,0,0,0,0,9,12,7,0
242,0,0,0,0,0,0,9,12,7,0
243,0,0,0,0,0,0,8,12,9,0
244,0,0,0,0,0,0,8,12,9,0
245,0,0,0,0,0,0,8,12,9,0
246,0,0,0,0,0,0,8,12,9,0
247,0,0,0,0,0,0,8,12,9,0
248,0,0,0,0,0,0,7,12,10,0
249,0,0,0,0,0,0,7,12,10,0
250,0,0,0,0,0,0,7,12,10,0
251,0,0,0,0,0,0,6,12,11,0
252,0,0,0,0,0,0,6,12,11,0
253,0,0,0,0,0,0,6,12,11,0
254,0,0,0,0,0,0,6,12,11,0
255,0,0,0,0,0,0,5,12,12,0
256,0,0,0,0,0,0,5,12,12,0
257,0,0,0,0,0,0,5,12,12,0
258,0,0,0,0,0,0,5,12,12,0
259,0,0,0,0,0,0,4,12,12,1
260,0,0,0,0,0,0,4,12,12,1
261,0,0,0,0,0,0,4,12,12,1
262,0,0,0,0,0,0,4,1,0,0
263,0,0,0,0,0,0,4,12,12,1
264,0,0,0,0,0,0,3,12,12,4
265,0,0,0,0,0,0,3,12,12,4
266,0,0,0,0,0,0,3,12,12,4
267,0,0,0,0,0,0,3,12,12,4
268,0,0,0,0,0,0,3,12,12,4
269,0,0,0,0,0,0,2,12,12,5
270,0,0,0,0,0,0,2,12,12,5
271,0,0,0,0,0,0,2,12,12,5
272,0,0,0,0,0,0,2,12,12,5
273,0,0,0,0,0,0,1,5,0,0
274,0,0,0,0,0,0,1,4,0,0
