kamera,region,dist_fluss,seehoehe,x,y
CL34,PNCA,1262.653351,63.89189189,-61.399727,-8.485863
CL35,PNCA,2026.803829,55.3053152,-61.345417,-8.453314
CL36,PNCA,1626.427074,54.2998776,-61.362946,-8.524016
CL37,PNCA,688.3508076,55.45330012,-61.403516,-8.606092
CL38,PNCA,554.4524371,64.04968944,-61.307726,-8.631136
CL39,PNCA,2590.375533,63.18057285,-61.268544,-8.648481
CL40,PNCA,502.141446,63.11881188,-61.226917,-8.623015
CS153R,PNM,2038.587151,107.2071517,-64.603827,-8.971912
CS156R,PNM,3765.336679,107.2592593,-64.57595,-8.97435
CSN1,PNM,1611.853675,108.0404412,-64.34349,-8.65601
CT-MA-1-01,PBDFF,2082.790778,112.9083024,-59.81232,-2.42389
CT-MA-1-02,PBDFF,723.9734797,102.7930607,-59.80204,-2.38655
CT-MA-1-03,PBDFF,87.5458499,93.68504902,-59.77767,-2.39283
CT-MA-1-04,PBDFF,0,125.4870849,-59.7879,-2.43054
CT-MA-1-05,PBDFF,0,112.4845488,-59.77567,-2.43278
CT-MA-1-06,PBDFF,0,95.73897059,-59.77175,-2.42048
CT-MA-1-07,PBDFF,1279.076306,115.1381011,-59.79618,-2.41417
CT-MA-1-08,PBDFF,38.65968258,110.1159063,-59.78383,-2.41754
CT-MA-1-09,PBDFF,980.1561618,118.2453761,-59.79975,-2.4266200000000002
CT-MA-1-10,PBDFF,886.7667244,96.2244143,-59.79304,-2.40169
CT-MA-1-11,PBDFF,0,90.8314746,-59.78084,-2.40549
CT-MA-1-12,PBDFF,223.8462716,115.6728395,-59.76889,-2.4089
CT-MA-1-13,PBDFF,0,79.79553903,-59.78995,-2.38965
CT-MA-1-14,PBDFF,1808.187982,106.3776138,-59.808839999999996,-2.41123
CT-MA-1-15,PBDFF,1078.179772,114.0222497,-59.80526,-2.39877
CT-MA-1-16,PBDFF,0,112.2607626,-59.90832,-2.42404
CT-MA-1-17,PBDFF,0,109.6506173,-59.89985,-2.41501
CT-MA-1-18,PBDFF,190.6631142,124.2260442,-59.9263,-2.42409
CT-MA-1-19,PBDFF,199.8718734,132.4133663,-59.91719,-2.4152
CT-MA-1-20,PBDFF,677.1791299,130.8722359,-59.90857,-2.4061
CT-MA-1-21,PBDFF,947.9574659,146.5539216,-59.8997,-2.39724
CT-MA-1-22,PBDFF,0,114.3312732,-59.93499,-2.41538
CT-MA-1-23,PBDFF,556.5941316,148.4944376,-59.92634,-2.40618
CT-MA-1-24,PBDFF,1361.662438,147.7849197,-59.91736,-2.39746
CT-MA-1-25,PBDFF,980.7387059,145.7648515,-59.9066,-2.38681
CT-MA-1-26,PBDFF,587.1060839,134.9717445,-59.90073,-2.37862
CT-MA-1-27,PBDFF,0,122.3247232,-59.93517,-2.39728
CT-MA-1-28,PBDFF,13.61595953,126.2334152,-59.92661,-2.3882
CT-MA-1-29,PBDFF,0,133.9901235,-59.91746,-2.37933
CT-MA-1-30,PBDFF,0,115.9777778,-59.93516,-2.37931
CT-MA-2-01,ZF2,30.56013174,80.11495674,-60.08619,-2.62714
CT-MA-2-02,ZF2,0,99.95812808,-60.07742,-2.61818
CT-MA-2-03,ZF2,2340.123996,97.13759214,-60.13095,-2.61846
CT-MA-2-04,ZF2,1431.65498,106.6662562,-60.09515,-2.61813
CT-MA-2-05,ZF2,1344.929792,83.03685504,-60.0862,-2.60916
CT-MA-2-06,ZF2,838.09125,123.8669951,-60.07724,-2.60033
CT-MA-2-07,ZF2,3125.350466,107.8966376,-60.11292,-2.61822
CT-MA-2-08,ZF2,2824.045379,77.85362854,-60.10401,-2.60922
CT-MA-2-09,ZF2,2725.918704,117.5461255,-60.09515,-2.60036
CT-MA-2-10,ZF2,1757.934709,116.7008653,-60.08642,-2.59114
CT-MA-2-11,ZF2,549.5205185,127.1889571,-60.07747,-2.58225
CT-MA-2-12,ZF2,1768.068407,101.3509202,-60.12168,-2.60954
CT-MA-2-13,ZF2,2795.149233,85.73554736,-60.10414,-2.59131
CT-MA-2-14,ZF2,2055.056357,116.5432099,-60.09507,-2.5825
CT-MA-2-15,ZF2,2521.551932,106.1308642,-60.10382,-2.57293
CT-MA-2-16,ZF2,39.29468104,82.16892725,-60.23833,-2.59952
CT-MA-2-17,ZF2,1016.578888,96.98638614,-60.19417,-2.64405
CT-MA-2-18,ZF2,0,80.27901235,-60.22064,-2.59952
